,MAE,MAPE,R2
DVN,95.72597491792642,0.8869637528926476,0.3073184231891877
MTDR,55.70697031202222,0.3186511780095794,-0.3966982817942637
MCF,13.87794777912356,0.6463081352107116,-1.16622574789025
SWN,117.9131351523771,0.21798113702420244,-0.41651916188866056
XEC,74.30605731465563,0.2805937405042392,0.06787556914052262
BSM,19.909300641495534,1.1405288687494748,-2.6159446594984024
BATL,12.78227855499766,0.3594201087579414,-0.8727843709758618
AMPY,17.97982814674592,0.6666049747718125,-1.8453747934893907
CHK,254.63937914447013,0.7871637245698634,-0.3311879039729084
OVV,134.57310137086102,1.9791963533685055,0.14008434538858394
APA,430.4023336519464,0.5082238839983141,-0.8474469378437446
SBOW,15.328607110539677,0.37528793031349317,-0.5882939864216421
VNOM,26.020995572527966,0.3909956777171066,-1.967269416865248
OAS,27.567530425958,0.16351494097332311,-0.5043836021254542
GDP,3.5174178412693458,0.2732453535326973,-0.390778310025544
EQT,33.27600799523857,0.40914497650522424,0.7284798594134585
PXD,199.1850484338496,0.3676712833142729,0.2974605351844314
COP,430.5287862944944,17.868910355037077,0.8195724352024101
WLL,67.02909319429715,0.6981989904134525,-0.2614181466423713
CPE,96.77077464362553,0.5684685044438544,-2.4527416080816855
WTI,14.626397121294369,0.7887830178386988,-2.2679975201739997
CRC,35.06499882424482,0.5760760912886679,0.14582589593058426
SM,107.32860211709666,1.7411965897555113,-1.0776381399629074
EGY,6.52488286010589,0.38558620127538545,0.0030489698675645327
MRO,126.4563551331418,1.8689245925059101,0.5981149189201103
DEN,42.96742668813307,0.6326998634305218,-66.61993808398375
COG,36.988228950226286,0.7238678271868327,0.7235057706250052
TALO,36.97006588448711,3.9184996858182797,0.4236899800447326
BCEI,18.93957729353123,0.33669800110989695,-0.22645252961789142
HES,88.16938577639957,0.10002407192191624,0.6534097426748736
EOG,220.25365433512997,0.14379813543396294,0.851027956455403
CNX,21.446230223622003,0.21534029722577236,0.456406007287241
PDCE,68.92529368633859,1.0774198067825704,0.33326499006633103
ESTE,18.09424861167585,1.2022755267881016,-0.10859670797595644
AR,312.0160676365761,0.6655487765483258,-0.12044731639579287
TPL,0.16272443251764732,732845693650551.9,0.0
CLR,119.60961983970803,0.8098608108537028,0.6319367918510468
RRC,19.395644422094602,0.1430254988281042,0.7443083315623422
CRK,65.15256825078366,0.49355759647537384,-0.8776295158689613
MUR,88.1660460926283,3.3699213375265376,-1.0248914873857489
FANG,230.17417927200643,0.44558351792641426,-0.9476079093638854
LPI,4.416254435532682,0.0589430423712854,0.8909142968946564
LONE,14.667888305746645,0.641854702995148,-1.539717423338629
CDEV,21.526258424051434,0.6546749458738541,0.5650434545311807
SD,14.601470465893396,1.0360602514256163,-8.56016196247583
XOG,65.64185061775339,0.6020345564910858,-0.6407787684859843
